time,suicide,depression,seek help,suicide lifeline,crisis hotline,Parkinson's,Robin Williams
201402,32370,29150,876,40,15,142,663
201403,58643,52724,1435,53,22,344,1006
201404,52729,46869,1407,54,31,552,1714
201405,49938,42981,2209,27,15,360,1000
201406,48636,42546,1345,41,24,343,824
201407,55191,45164,1511,18,25,355,1725
201408,98464,91242,2299,523,48,4230,356492
201409,61142,49727,1725,193,43,544,13476
201410,55352,48694,1713,61,29,333,5516
201411,59856,44531,1509,53,31,557,6607
201412,62220,43337,1450,85,62,410,6787
201501,61782,47619,1523,68,89,432,3817
201502,19654,16561,518,19,23,236,2903
